size	time
12551	14.7717
12576	14.7653
12601	14.9508
12626	14.6079
12651	15.3886
12676	14.8158
12701	14.6904
12726	15.2236
12751	14.6044
12776	15.1666
12801	15.1193
12826	14.6512
12851	15.1572
12876	15.0196
12901	14.8645
12926	15.1697
12951	14.727
12976	15.6816
13001	14.8845
13026	15.2239
13051	15.3024
13076	14.9384
13101	15.7664
13126	15.6946
13151	15.1673
13176	15.8638
13201	15.1892
13226	15.8842
13251	15.4054
13276	15.2089
13301	15.8114
13326	15.2203
13351	15.9969
13376	15.5799
13401	15.3952
13426	15.9441
13451	15.2297
13476	16.3055
13501	15.3349
13526	15.6207
13551	15.7524
13576	15.5428
13601	16.0648
13626	15.3772
13651	15.8079
13676	15.361
13701	16.0061
13726	15.471
13751	15.5048
13776	15.8204
13801	15.2798
13826	16.3703
13851	15.2458
13876	15.7761
13901	15.5702
13926	15.9011
13951	15.8945
13976	15.3765
14001	16.0736
14026	15.3207
14051	16.2751
14076	15.3426
14101	16.3657
14126	15.7209
14151	15.8519
14176	15.9236
14201	15.4956
14226	16.1405
14251	15.3779
14276	16.2539
14301	15.3006
14326	16.0043
14351	15.6257
14376	15.8233
14401	15.86
14426	15.6716
14451	16.0042
14476	15.4182
14501	16.5189
14526	15.6099
14551	16.0455
14576	15.487
14601	16.253
14626	15.6348
14651	16.0721
14676	15.8187
14701	16.1099
14726	15.7694
14751	15.6751
14776	16.1188
14801	15.6605
14826	16.1876
14851	15.8531
14876	16.2126
14901	15.4583
14926	16.6181
14951	15.6645
14976	16.1501
15001	15.5219
15026	16.4273
15051	15.583
15076	16.0223
15101	15.8052
15126	16.2503
15151	15.8463
15176	16.1398
15201	15.818
15226	16.1446
15251	15.763
15276	15.8605
15301	15.9743
15326	15.9012
15351	15.9154
15376	15.8152
15401	16.0397
15426	15.946
15451	16.134
15476	15.8802
15501	16.0714
15526	15.9265
15551	16.0578
15576	15.9
15601	16.0753
15626	15.8979
15651	16.1148
15676	15.827
15701	16.1495
15726	16.0268
15751	16.0487
15776	15.8962
15801	16.0911
15826	15.9912
15851	16.0573
15876	15.8463
15901	16.1733
15926	16.0207
15951	15.945
15976	16.0881
16001	16.023
16026	16.2097
16051	15.9009
16076	16.0692
16101	15.9802
16126	16.3527
16151	15.8147
16176	16.4877
16201	15.8107
16226	16.5236
16251	15.6939
16276	16.261
16301	15.7595
16326	16.5899
16351	15.7165
16376	16.2762
16401	16.1674
16426	16.2953
16451	16.2464
16476	16.3082
16501	16.7063
16526	16.5402
16551	16.4536
16576	16.1445
16601	16.7026
16626	16.0704
16651	16.6652
16676	15.8937
16701	16.7192
16726	16.1762
16751	16.2032
16776	16.604
16801	16.2186
16826	16.4067
16851	16.1437
16876	17.1017
16901	16.1189
16926	16.4446
16951	16.2226
16976	16.303
17001	16.4929
17026	16.3504
17051	16.7856
17076	16.8056
17101	16.3369
17126	16.0216
17151	16.627
17176	18.5603
17201	16.2357
17226	16.5997
17251	16.5244
17276	16.2624
17301	15.9265
17326	16.5939
17351	16.2376
17376	16.3195
17401	16.6748
17426	16.6777
17451	16.4084
17476	15.9259
17501	16.5483
17526	16.2062
17551	16.4837
17576	16.6407
17601	16.1136
17626	16.5861
17651	16.2143
17676	16.3182
17701	17.0836
17726	16.3368
17751	16.5835
17776	17.1686
17801	17.528
17826	16.8704
17851	16.2201
17876	16.6919
17901	16.286
17926	16.7009
17951	16.4296
17976	16.4784
18001	16.7463
18026	16.2903
18051	17.2667
18076	16.5964
18101	16.5079
18126	16.5354
18151	16.0554
18176	16.8777
18201	16.6349
18226	16.5707
18251	17.0914
18276	16.046
18301	16.5296
18326	16.4125
18351	16.3453
18376	16.6294
18401	16.2224
18426	16.6555
18451	16.4525
18476	16.339
18501	17.0207
18526	16.1638
18551	16.4184
18576	16.755
18601	16.3033
18626	16.6206
18651	16.4273
18676	16.4909
18701	16.7252
18726	16.225
18751	17.4834
18776	16.8921
18801	16.5227
18826	16.828
18851	16.3239
18876	16.6016
18901	17.0711
18926	16.1594
18951	16.818
18976	16.8978
19001	16.2284
19026	16.5576
19051	16.2478
19076	16.4836
19101	16.6805
19126	16.1366
19151	16.1389
19176	16.3594
19201	15.9515
19226	16.4734
19251	16.2151
19276	16.0794
19301	16.3432
19326	16.1842
19351	16.6186
19376	16.5086
19401	16.4413
19426	16.5269
19451	16.0913
19476	16.0296
19501	16.1753
19526	16.1162
19551	16.0992
19576	16.4792
19601	15.9247
19626	16.3023
19651	16.4012
19676	15.9574
19701	16.4771
19726	16.4946
19751	16.0409
19776	16.4933
19801	16.3103
19826	16.1752
19851	16.5476
19876	16.1624
19901	16.1517
19926	16.6042
19951	16.2786
19976	16.463
